asset_id,asset_dir,color_texture,domain_family,quality_tier,allowed_roles,value_family,texture_scale_range,curation_notes,source_review
aerial_beach_01_4k,assets/library/polyhaven/materials/aerial_beach_01_4k,assets/library/polyhaven/materials/aerial_beach_01_4k/textures/aerial_beach_01_diff_4k.jpg,natural_sand,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",large-scale beach sand; outdoor/sand only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
aerial_grass_rock_4k,assets/library/polyhaven/materials/aerial_grass_rock_4k,assets/library/polyhaven/materials/aerial_grass_rock_4k/textures/aerial_grass_rock_diff_4k.jpg,organic_grass_rock,exclude_v0,"[""natural_ground""]",medium,"[2.5, 5.0]",moss/grass patches read as aerial terrain; avoid simple tabletop,visual_contact_sheet_polyhaven_v2_1_pages_01_05
aerial_ground_rock_4k,assets/library/polyhaven/materials/aerial_ground_rock_4k,assets/library/polyhaven/materials/aerial_ground_rock_4k/textures/aerial_ground_rock_diff_4k.jpg,natural_soil_rock,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",rough outdoor dirt/rock; not clean support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
aerial_rocks_01_4k,assets/library/polyhaven/materials/aerial_rocks_01_4k,assets/library/polyhaven/materials/aerial_rocks_01_4k/textures/aerial_rocks_01_diff_4k.jpg,natural_gravel_rock,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",large stones and grass; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
aerial_wood_snips_4k,assets/library/polyhaven/materials/aerial_wood_snips_4k,assets/library/polyhaven/materials/aerial_wood_snips_4k/textures/aerial_wood_snips_diff_4k.jpg,organic_debris,exclude_v0,"[""natural_ground""]",dark,"[2.5, 5.0]",wood-chip/debris semantics too strong for v0,visual_contact_sheet_polyhaven_v2_1_pages_01_05
beige_wall_001_4k,assets/library/polyhaven/materials/beige_wall_001_4k,assets/library/polyhaven/materials/beige_wall_001_4k/textures/beige_wall_001_diff_4k.jpg,wall_plaster_plain,usable_watch,"[""wall_background""]",light,"[1.8, 3.2]",very flat beige wall; usable with stronger shadow only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
blue_floor_tiles_01_4k,assets/library/polyhaven/materials/blue_floor_tiles_01_4k,assets/library/polyhaven/materials/blue_floor_tiles_01_4k/textures/blue_floor_tiles_01_diff_4k.jpg,support_tile,core,"[""support_surface""]",light,"[1.8, 3.4]",regular tile/paver surface; good controlled support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
brick_4_4k,assets/library/polyhaven/materials/brick_4_4k,assets/library/polyhaven/materials/brick_4_4k/textures/brick_4_diff_4k.jpg,wall_brick_red,core,"[""wall_background""]",medium,"[1.8, 3.2]",clean red brick wall background,visual_contact_sheet_polyhaven_v2_1_pages_01_05
brick_floor_003_4k,assets/library/polyhaven/materials/brick_floor_003_4k,assets/library/polyhaven/materials/brick_floor_003_4k/textures/brick_floor_003_diffuse_4k.jpg,support_brick_floor,usable_watch,"[""support_surface""]",dark,"[1.8, 3.4]","brick floor, a bit dark/patterned",visual_contact_sheet_polyhaven_v2_1_pages_01_05
brick_wall_001_4k,assets/library/polyhaven/materials/brick_wall_001_4k,assets/library/polyhaven/materials/brick_wall_001_4k/textures/brick_wall_001_diffuse_4k.jpg,wall_brick_red,core,"[""wall_background""]",dark,"[1.8, 3.2]",varied brick wall; good background,visual_contact_sheet_polyhaven_v2_1_pages_01_05
brick_wall_003_4k,assets/library/polyhaven/materials/brick_wall_003_4k,assets/library/polyhaven/materials/brick_wall_003_4k/textures/brick_wall_003_diffuse_4k.jpg,wall_brick_light,core,"[""wall_background""]",light,"[1.8, 3.2]",light brick wall; controlled wall background,visual_contact_sheet_polyhaven_v2_1_pages_01_05
brick_wall_005_4k,assets/library/polyhaven/materials/brick_wall_005_4k,assets/library/polyhaven/materials/brick_wall_005_4k/textures/brick_wall_005_diff_4k.jpg,wall_brick_red,core,"[""wall_background""]",medium,"[1.8, 3.2]",rough brick wall; good background,visual_contact_sheet_polyhaven_v2_1_pages_01_05
brick_wall_006_4k,assets/library/polyhaven/materials/brick_wall_006_4k,assets/library/polyhaven/materials/brick_wall_006_4k/textures/brick_wall_006_diff_4k.jpg,wall_brick_red,core,"[""wall_background""]",medium,"[1.8, 3.2]",fine brick wall; good background,visual_contact_sheet_polyhaven_v2_1_pages_01_05
brown_mud_03_4k,assets/library/polyhaven/materials/brown_mud_03_4k,assets/library/polyhaven/materials/brown_mud_03_4k/textures/brown_mud_03_diff_4k.jpg,natural_mud,exclude_v0,"[""natural_ground""]",dark,"[2.5, 5.0]",lumpy mud reads wet/uneven; avoid current rigid support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
brown_mud_leaves_01_4k,assets/library/polyhaven/materials/brown_mud_leaves_01_4k,assets/library/polyhaven/materials/brown_mud_leaves_01_4k/textures/brown_mud_leaves_01_diff_4k.jpg,organic_mud_leaves,exclude_v0,"[""natural_ground""]",dark,"[2.5, 5.0]",leaf/mud clutter too semantic,visual_contact_sheet_polyhaven_v2_1_pages_01_05
castle_brick_02_red_4k,assets/library/polyhaven/materials/castle_brick_02_red_4k,assets/library/polyhaven/materials/castle_brick_02_red_4k/textures/castle_brick_02_red_diff_4k.jpg,wall_brick_red,core,"[""wall_background""]",medium,"[1.8, 3.2]",aged brick wall background,visual_contact_sheet_polyhaven_v2_1_pages_01_05
clean_pebbles_4k,assets/library/polyhaven/materials/clean_pebbles_4k,assets/library/polyhaven/materials/clean_pebbles_4k/textures/clean_pebbles_diff_4k.jpg,natural_pebble,usable_watch,"[""natural_ground""]",light,"[2.5, 5.0]",pebbles are high frequency; use only outdoor/ground,visual_contact_sheet_polyhaven_v2_1_pages_01_05
coast_land_rocks_01_4k,assets/library/polyhaven/materials/coast_land_rocks_01_4k,assets/library/polyhaven/materials/coast_land_rocks_01_4k/textures/coast_land_rocks_01_diff_4k.jpg,natural_rock_moss,exclude_v0,"[""natural_ground""]",dark,"[2.5, 5.0]",mottled moss/rock looks noisy and dirty,visual_contact_sheet_polyhaven_v2_1_pages_01_05
coast_sand_02_4k,assets/library/polyhaven/materials/coast_sand_02_4k,assets/library/polyhaven/materials/coast_sand_02_4k/textures/coast_sand_02_diff_4k.jpg,natural_sand,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",sand/soil outdoor surface,visual_contact_sheet_polyhaven_v2_1_pages_01_05
coast_sand_03_4k,assets/library/polyhaven/materials/coast_sand_03_4k,assets/library/polyhaven/materials/coast_sand_03_4k/textures/coast_sand_03_diff_4k.jpg,natural_sand,usable_watch,"[""natural_ground""]",light,"[2.5, 5.0]",sand outdoor surface,visual_contact_sheet_polyhaven_v2_1_pages_01_05
coast_sand_04_4k,assets/library/polyhaven/materials/coast_sand_04_4k,assets/library/polyhaven/materials/coast_sand_04_4k/textures/coast_sand_04_diff_4k.jpg,natural_sand,usable_watch,"[""natural_ground""]",dark,"[2.5, 5.0]",damp sand/soil outdoor surface,visual_contact_sheet_polyhaven_v2_1_pages_01_05
concrete_floor_worn_001_4k,assets/library/polyhaven/materials/concrete_floor_worn_001_4k,assets/library/polyhaven/materials/concrete_floor_worn_001_4k/textures/concrete_floor_worn_001_diff_4k.jpg,support_concrete,core,"[""support_surface"", ""foreground_object""]",dark,"[1.2, 2.4]",clean industrial concrete; good support/object,visual_contact_sheet_polyhaven_v2_1_pages_01_05
coral_gravel_4k,assets/library/polyhaven/materials/coral_gravel_4k,assets/library/polyhaven/materials/coral_gravel_4k/textures/coral_gravel_diff_4k.jpg,natural_gravel,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",coarse gravel; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
coral_ground_02_4k,assets/library/polyhaven/materials/coral_ground_02_4k,assets/library/polyhaven/materials/coral_ground_02_4k/textures/coral_ground_02_diff_4k.jpg,natural_gravel_mottled,exclude_v0,"[""natural_ground""]",medium,"[2.5, 5.0]",mottled coral ground looks noisy,visual_contact_sheet_polyhaven_v2_1_pages_01_05
damaged_concrete_floor_02_4k,assets/library/polyhaven/materials/damaged_concrete_floor_02_4k,assets/library/polyhaven/materials/damaged_concrete_floor_02_4k/textures/damaged_concrete_floor_02_diff_4k.jpg,support_concrete,core,"[""support_surface"", ""foreground_object""]",medium,"[1.2, 2.4]",worn concrete but still controlled,visual_contact_sheet_polyhaven_v2_1_pages_01_05
dark_wood_4k,assets/library/polyhaven/materials/dark_wood_4k,assets/library/polyhaven/materials/dark_wood_4k/textures/dark_wood_diff_4k.jpg,support_wood_dark,core,"[""support_surface"", ""foreground_object""]",dark,"[1.6, 3.0]",good dark table/floor wood,visual_contact_sheet_polyhaven_v2_1_pages_01_05
diagonal_parquet_4k,assets/library/polyhaven/materials/diagonal_parquet_4k,assets/library/polyhaven/materials/diagonal_parquet_4k/textures/diagonal_parquet_diff_4k.jpg,support_wood_parquet,core,"[""support_surface""]",medium,"[1.6, 3.0]",parquet floor; controlled patterned support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
dirt_aerial_03_4k,assets/library/polyhaven/materials/dirt_aerial_03_4k,assets/library/polyhaven/materials/dirt_aerial_03_4k/textures/dirt_aerial_03_diff_4k.jpg,natural_soil,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",outdoor soil texture; not tabletop,visual_contact_sheet_polyhaven_v2_1_pages_01_05
dirt_floor_4k,assets/library/polyhaven/materials/dirt_floor_4k,assets/library/polyhaven/materials/dirt_floor_4k/textures/dirt_floor_diff_4k.jpg,natural_soil,usable_watch,"[""natural_ground"", ""support_surface""]",medium,"[2.5, 5.0]",plain dirt floor; only rustic/outdoor support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
dry_ground_rocks_4k,assets/library/polyhaven/materials/dry_ground_rocks_4k,assets/library/polyhaven/materials/dry_ground_rocks_4k/textures/dry_ground_rocks_diff_4k.jpg,natural_soil_rock,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",dry ground with stones; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
dry_mud_field_001_4k,assets/library/polyhaven/materials/dry_mud_field_001_4k,assets/library/polyhaven/materials/dry_mud_field_001_4k/textures/dry_mud_field_001_diff_4k.jpg,natural_mud,exclude_v0,"[""natural_ground""]",dark,"[2.5, 5.0]",mud field looks too uneven/noisy,visual_contact_sheet_polyhaven_v2_1_pages_01_05
fabric_leather_01_4k,assets/library/polyhaven/materials/fabric_leather_01_4k,assets/library/polyhaven/materials/fabric_leather_01_4k/textures/fabric_leather_01_diff_4k.jpg,object_leather,core,"[""foreground_object""]",medium,"[0.7, 1.5]","good for object/furniture material, not main support",visual_contact_sheet_polyhaven_v2_1_pages_01_05
fine_grained_wood_4k,assets/library/polyhaven/materials/fine_grained_wood_4k,assets/library/polyhaven/materials/fine_grained_wood_4k/textures/fine_grained_wood_col_4k.jpg,support_wood_clean,core,"[""support_surface"", ""foreground_object""]",dark,"[1.6, 3.0]",fine wood grain; good object/table,visual_contact_sheet_polyhaven_v2_1_pages_01_05
floor_pavement_4k,assets/library/polyhaven/materials/floor_pavement_4k,assets/library/polyhaven/materials/floor_pavement_4k/textures/floor_pavement_diff_4k.jpg,support_tile_pavement,core,"[""support_surface""]",light,"[1.8, 3.4]",regular pale pavement; stable floor support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
floor_pebbles_01_4k,assets/library/polyhaven/materials/floor_pebbles_01_4k,assets/library/polyhaven/materials/floor_pebbles_01_4k/textures/floor_pebbles_01_diff_4k.jpg,natural_pebble,usable_watch,"[""natural_ground""]",light,"[2.5, 5.0]",pebble floor high frequency; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
forest_floor_4k,assets/library/polyhaven/materials/forest_floor_4k,assets/library/polyhaven/materials/forest_floor_4k/textures/forest_floor_diff_4k.jpg,organic_leaf_floor,exclude_v0,"[""natural_ground""]",medium,"[2.5, 5.0]",fallen leaves too semantic/noisy,visual_contact_sheet_polyhaven_v2_1_pages_01_05
forest_leaves_02_4k,assets/library/polyhaven/materials/forest_leaves_02_4k,assets/library/polyhaven/materials/forest_leaves_02_4k/textures/forest_leaves_02_diffuse_4k.jpg,organic_leaf_floor,exclude_v0,"[""natural_ground""]",medium,"[2.5, 5.0]",leaf/grass patches too semantic,visual_contact_sheet_polyhaven_v2_1_pages_01_05
forest_leaves_04_4k,assets/library/polyhaven/materials/forest_leaves_04_4k,assets/library/polyhaven/materials/forest_leaves_04_4k/textures/forest_leaves_04_diff_4k.jpg,organic_leaf_floor,exclude_v0,"[""natural_ground""]",medium,"[2.5, 5.0]",leaf litter too semantic,visual_contact_sheet_polyhaven_v2_1_pages_01_05
forrest_ground_01_4k,assets/library/polyhaven/materials/forrest_ground_01_4k,assets/library/polyhaven/materials/forrest_ground_01_4k/textures/forrest_ground_01_diff_4k.jpg,organic_grass_soil,exclude_v0,"[""natural_ground""]",medium,"[2.5, 5.0]",grass-dominant surface; avoid v0,visual_contact_sheet_polyhaven_v2_1_pages_01_05
forrest_ground_03_4k,assets/library/polyhaven/materials/forrest_ground_03_4k,assets/library/polyhaven/materials/forrest_ground_03_4k/textures/forrest_ground_03_diff_4k.jpg,natural_soil,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",plain forest soil; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
garage_floor_4k,assets/library/polyhaven/materials/garage_floor_4k,assets/library/polyhaven/materials/garage_floor_4k/textures/garage_floor_diff_4k.jpg,support_concrete,core,"[""support_surface"", ""foreground_object""]",medium,"[1.2, 2.4]",garage concrete; good controlled support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
grass_path_3_4k,assets/library/polyhaven/materials/grass_path_3_4k,assets/library/polyhaven/materials/grass_path_3_4k/textures/grass_path_3_diff_4k.jpg,organic_grass_path,exclude_v0,"[""natural_ground""]",medium,"[2.5, 5.0]",grass/moss path too organic for v0,visual_contact_sheet_polyhaven_v2_1_pages_01_05
gravel_concrete_4k,assets/library/polyhaven/materials/gravel_concrete_4k,assets/library/polyhaven/materials/gravel_concrete_4k/textures/gravel_concrete_diff_4k.jpg,support_concrete_gravel,core,"[""support_surface""]",medium,"[1.2, 2.4]",fine gravel concrete; controlled support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
gravel_embedded_concrete_4k,assets/library/polyhaven/materials/gravel_embedded_concrete_4k,assets/library/polyhaven/materials/gravel_embedded_concrete_4k/textures/gravel_embedded_concrete_diff_4k.jpg,support_concrete_gravel,core,"[""support_surface""]",light,"[1.2, 2.4]",embedded gravel concrete; controlled support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
gravel_ground_01_4k,assets/library/polyhaven/materials/gravel_ground_01_4k,assets/library/polyhaven/materials/gravel_ground_01_4k/textures/gravel_ground_01_diff_4k.jpg,natural_gravel,usable_watch,"[""natural_ground""]",medium,"[2.5, 5.0]",rough gravel ground; outdoor only,visual_contact_sheet_polyhaven_v2_1_pages_01_05
ground_grey_4k,assets/library/polyhaven/materials/ground_grey_4k,assets/library/polyhaven/materials/ground_grey_4k/textures/ground_grey_diff_4k.jpg,support_concrete,core,"[""support_surface"", ""foreground_object""]",light,"[1.2, 2.4]",neutral grey ground; good support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
herringbone_parquet_4k,assets/library/polyhaven/materials/herringbone_parquet_4k,assets/library/polyhaven/materials/herringbone_parquet_4k/textures/herringbone_parquet_diff_4k.jpg,support_wood_parquet,core,"[""support_surface""]",medium,"[1.6, 3.0]",wood parquet floor; good support,visual_contact_sheet_polyhaven_v2_1_pages_01_05
kitchen_wood_4k,assets/library/polyhaven/materials/kitchen_wood_4k,assets/library/polyhaven/materials/kitchen_wood_4k/textures/kitchen_wood_diff_4k.jpg,support_wood_clean,core,"[""support_surface"", ""foreground_object""]",medium,"[1.6, 3.0]",wood plank/table-like surface,visual_contact_sheet_polyhaven_v2_1_pages_01_05
